ANNO;CODICE REGIONE;DENOMINAZIONE REGIONE;CODICE AZIENDA;DENOMINAZIONE AZIENDA;INDIRIZZO;CAP;COMUNE;SIGLA PROVINCIA;TELEFONO;FAX;E-MAIL;SITO WEB;PARTITA IVA
2010;050;VENETO;113;MIRANO;VIA MARIUTTO 76      ;30035;MIRANO;VE;;;;;
2010;050;VENETO;114;CHIOGGIA;STRADA MADONNA MARINA 500     ;30015;CHIOGGIA;VE;;;;;
2010;050;VENETO;115;CITTADELLA;VIA CASA DI RICOVERO  40      ;35010;CITTADELLA;PD;;;;;
2010;050;VENETO;116;PADOVA;VIA E. DEGLI SCROVEGNI 14      ;35100;PADOVA;PD;;;;;
2010;050;VENETO;117;ESTE MONSELICE MONTAGNANA;VIA G. MARCONI 19      ;35043;MONTAGNANA;PD;;;;;
2010;050;VENETO;118;ROVIGO;V.LE TRE MARTIRI 89      ;45100;ROVIGO;RO;;;;;
2010;050;VENETO;119;ADRIA;PIAZZA DEGLI ETRUSCHI 9       ;45011;ADRIA;RO;;;;;
2010;050;VENETO;120;VERONA;VIA VALVERDE  42      ;37122;VERONA;VR;;;;;
2010;050;VENETO;121;LEGNAGO;VIA GIANELLA  1       ;37045;LEGNAGO;VR;;;;;
2010;050;VENETO;122;BUSSOLENGO;VIA CITELLA 52      ;37012;BUSSOLENGO;VR;;;;;
2010;060;FRIULI VENEZIA GIULIA;101;TRIESTINA;VIA DEL FARNETO 3;34142;TRIESTE;TS;;;;;
2010;060;FRIULI VENEZIA GIULIA;102;ISONTINA;VIA VITTORIO VENETO 24;34170;GORIZIA;GO;;;;;
2010;060;FRIULI VENEZIA GIULIA;103;ALTO FRIULI;P.ZA PORTUZZA, 1;33013;GEMONA DEL FRIULI;UD;;;;;
2010;060;FRIULI VENEZIA GIULIA;104;MEDIO FRIULI;VIA COLUGNA 50;33100;UDINE;UD;;;;;
2010;060;FRIULI VENEZIA GIULIA;105;BASSA FRIULANA;VIA NATISONE-FRAZ. JALMICCO;33057;PALMANOVA;UD;;;;;
2010;060;FRIULI VENEZIA GIULIA;106;FRIULI OCCIDENTALE;VIA DELLA VECCHIA CERAMICA;33170;PORDENONE;PN;;;;;
2010;070;LIGURIA;101;IMPERIESE;VIA AURELIA, 97;18032;SAN REMO;IM;;;;;
2010;070;LIGURIA;102;SAVONESE;VIA PALEOCAPA 22;17100;SAVONA;SV;;;;;
2010;070;LIGURIA;103;GENOVESE;VIA G. MAGGIO 6;16147;GENOVA;GE;;;;;
2010;070;LIGURIA;104;CHIAVARESE;VIA C.B.GHIO 9;16043;CHIAVARI;GE;;;;;
2010;070;LIGURIA;105;SPEZZINO;VIA XXIV MAGGIO 139;19124;LA SPEZIA;SP;;;;;
2010;080;EMILIA ROMAGNA;101;AZIENDA USL PIACENZA;CORSO VITTORIO EMANUELE II� 169     ;29100;PIACENZA;PC;;;;;
2010;080;EMILIA ROMAGNA;102;AZIENDA USL PARMA;STRADA DEL QUARTIERE 2/A     ;43123;PARMA;PR;;;;;
2010;080;EMILIA ROMAGNA;103;AZIENDA USL REGGIO EMILIA;VIA AMENDOLA 2       ;42122;REGGIO NELL EMILIA;RE;;;;;
2010;080;EMILIA ROMAGNA;104;AZIENDA USL MODENA;VIA S.GIOVANNI DEL CANTONE 23      ;41100;MODENA;MO;;;;;
2010;080;EMILIA ROMAGNA;105;AZIENDA USL BOLOGNA;VIA CASTIGLIONE 29      ;40124;BOLOGNA;BO;;;;;
2010;080;EMILIA ROMAGNA;106;AZIENDA USL IMOLA;VIALE  AMENDOLA 2       ;40026;IMOLA;BO;;;;;
2010;080;EMILIA ROMAGNA;109;AZIENDA USL FERRARA;VIA A.CASSOLI 30      ;44100;FERRARA;FE;;;;;
2010;080;EMILIA ROMAGNA;110;AZIENDA USL RAVENNA;VIA A. DE GASPERI 8       ;48100;RAVENNA;RA;;;;;
2010;080;EMILIA ROMAGNA;111;AZIENDA USL FORLI;CORSO REPUBBLICA 171/d   ;47100;FORLI;FC;;;;;
2010;080;EMILIA ROMAGNA;112;AZIENDA USL CESENA;P.ZZA LEONARDO SCIASCIA 111/2   ;47522;CESENA;FC;;;;;
2010;080;EMILIA ROMAGNA;113;AZIENDA USL RIMINI;VIA CORIANO 38      ;47037;RIMINI;RN;;;;;
2010;090;TOSCANA;101;MASSA CARRARA;VIA DON MINZONI 3;54033;CARRARA;MS;;;;;
2010;090;TOSCANA;102;LUCCA;V. PER S.ALESSIO M.S. QUIRI;55100;LUCCA;LU;;;;;
2010;090;TOSCANA;103;PISTOIA;VIALE MATTEOTTI 35;51100;PISTOIA;PT;;;;;
2010;090;TOSCANA;104;PRATO;VIALE DELLA REPUBBLICA 240;50047;PRATO;PO;;;;;
2010;090;TOSCANA;105;PISA;VIA ZAMENHOF 1;56100;PISA;PI;;;;;
2010;090;TOSCANA;106;LIVORNO;VIA MONTEROTONDO 49;57100;LIVORNO;LI;;;;;
2010;090;TOSCANA;107;SIENA;VIA ROMA 75/76;53100;SIENA;SI;;;;;
2010;090;TOSCANA;108;AREZZO;VIA FONTE VENEZIANA 8;52100;AREZZO;AR;;;;;
2010;090;TOSCANA;109;GROSSETO;VIA MONTELEONI 6/B;58100;GROSSETO;GR;;;;;
2010;090;TOSCANA;110;FIRENZE;P.ZZA S.MARIA NUOVA 1;50122;FIRENZE;FI;;;;;
2010;090;TOSCANA;111;EMPOLI;P.ZZA XXIV LUGLIO 1;50053;EMPOLI;FI;;;;;
2010;090;TOSCANA;112;VERSILIA;VIA VETRAIA 5;55049;VIAREGGIO;LU;;;;;
2010;100;UMBRIA;101;CITTA DI CASTELLO;VIA LUIGI ANGELINI 10;06012;CITTA` DI CASTELLO;PG;;;;;
2010;100;UMBRIA;102;PERUGIA;VIA GUERRA 17/21;06127;PERUGIA;PG;;;;;
2010;100;UMBRIA;103;FOLIGNO;PIAZZA GIACOMINI 40      ;06034;FOLIGNO;PG;;;;;
2010;100;UMBRIA;204;TERNI;VIA BRAMANTE 37      ;05100;TERNI;TR;;;;;
2010;110;MARCHE;201;ASUR;VIA CADUTI DEL LAVORO 40      ;60131;ANCONA;AN;;;;;
2010;120;LAZIO;101;RM/A;VIA ARIOSTO 3/9     ;00185;ROMA;RM;;;;;
2010;120;LAZIO;102;RM/B;VIA FILIPPO MEDA 35      ;00157;ROMA;RM;;;;;
2010;120;LAZIO;103;RM/C;VIALE DELL ARTE 68      ;00144;ROMA;RM;;;;;
2010;120;LAZIO;104;RM/D;VIA CASAL BERNOCCHI 73      ;00125;ROMA;RM;;;;;
2010;120;LAZIO;105;RM/E;B.GO S. SPIRITO 3       ;00193;ROMA;RM;;;;;
2010;120;LAZIO;106;RM/F;VIA DELLE TERME DI TRAIANO 39/a    ;00053;CIVITAVECCHIA;RM;;;;;
2010;120;LAZIO;107;RM/G;VIA TIBURTINA 22/A    ;00019;TIVOLI;RM;;;;;
2010;120;LAZIO;108;RM/H;B.GO GARIBALDI 12      ;00041;ALBANO LAZIALE;RM;;;;;
2010;120;LAZIO;109;VITERBO;VIA ENRICO FERMI 15      ;01100;VITERBO;VT;;;;;
2010;120;LAZIO;110;RIETI;VIALE  MATTEUCCI 9       ;02100;RIETI;RI;;;;;
2010;120;LAZIO;111;LATINA;V.le PIERLUIGI NERVI Torre 2G snc     ;04100;LATINA;LT;;;;;
2010;120;LAZIO;112;FROSINONE;VIALE A. FABI snc     ;03100;FROSINONE;FR;;;;;
2010;130;ABRUZZO;201;AVEZZANO-SULMONA-L AQUILA;L AQUILA  VIA G. BELLISARI SNC      ;67100;L AQUILA;AQ;;;;;
2010;130;ABRUZZO;202;LANCIANO-VASTO-CHIETI ;CHIETI  VIA MARTIRI LANCIANESI 19      ;66100;CHIETI;CH;;;;;
2010;130;ABRUZZO;203;PESCARA;PESCARA  VIA R. PAOLINI 47      ;65100;PESCARA;PE;;;;;
2010;130;ABRUZZO;204;TERAMO;TERAMO  CIRC.NE RAGUSA 1       ;64100;TERAMO;TE;;;;;
2010;140;MOLISE;201;ASREM;VIA PETRELLA 1       ;86100;CAMPOBASSO;CB;;;;;
2010;150;CAMPANIA;201;A.S.L. AVELLINO;VIA DEGLI IMBIMBO 10/12   ;83100;AVELLINO;AV;;;;;
2010;150;CAMPANIA;202;A.S.L. BENEVENTO;VIA ODERISIO 1       ;82100;BENEVENTO;BN;;;;;
2010;150;CAMPANIA;203;A.S.L. CASERTA;VIA UNITA ITALIANA 28      ;81100;CASERTA;CE;;;;;
2010;150;CAMPANIA;204;A.S.L. NAPOLI 1 CENTRO;CENTRO DIREZIONALE IS. F/9 ;80143;NAPOLI;NA;;;;;
2010;150;CAMPANIA;205;A.S.L. NAPOLI 2 NORD;VIA CORRADO ALVARO 8       ;80078;POZZUOLI;NA;;;;;
2010;150;CAMPANIA;206;A.S.L. NAPOLI 3 SUD;C.SO ALCIDE DE GASPERI 167     ;80053;CASTELLAMMARE DI STABIA;NA;;;;;
2010;150;CAMPANIA;207;A.S.L. SALERNO;VIA NIZZA 146     ;84124;SALERNO;SA;;;;;
2010;160;PUGLIA;106;ASL BR;VIA DALMAZIA 13      ;72100;BRINDISI;BR;;;;;
2010;160;PUGLIA;112;ASL TA;VIALE VIRGILIO 31      ;74100;TARANTO;TA;;;;;
2010;160;PUGLIA;113;ASL BAT;VIA FORNACI 201     ;70031;ANDRIA;BT;;;;;
2010;160;PUGLIA;114;ASL BA;LUNGOMARE STARITA 6       ;70123;BARI;BA;;;;;
2010;160;PUGLIA;115;ASL FG;PIAZZA LIBERT� 1       ;71100;FOGGIA;FG;;;;;
2010;160;PUGLIA;116;ASL LE;VIA MIGLIETTA 5       ;73100;LECCE;LE;;;;;
2010;170;BASILICATA;201;AZIENDA SANITARIA LOCALE DI POTENZA ASP;VIA TORRACA 2       ;85100;POTENZA;PZ;;;;;
2010;170;BASILICATA;202;AZIENDA SANITARIA LOCALE DI MATERA  ASM;VIA MONTESCAGLIOSO 20      ;75100;MATERA;MT;;;;;
2010;180;CALABRIA;109;LOCRI                                   ;CTR. VERGA                    ;89044;LOCRI                        ;RC;;;;;
2010;180;CALABRIA;201;A.S.P. COSENZA ;VIALE DEGLI ALIMENA 8       ;87100;COSENZA;CS;;;;;
2010;180;CALABRIA;202;A.S.P. CROTONE;VIA CORIGLIANO 1       ;88900;CROTONE;KR;;;;;
2010;180;CALABRIA;203;A.S.P. CATANZARO;VIA VINICIO CORTESE 25      ;88100;CATANZARO;CZ;;;;;
2010;180;CALABRIA;204;A.S.P. VIBO VALENTIA;VIA DANTE ALIGHIERI 1       ;89900;VIBO VALENTIA;VV;;;;;
2010;180;CALABRIA;205;A.S.P. REGGIO CALABRIA;VIA SANT ANNA II TRONCO 18/P    ;89128;REGGIO DI CALABRIA;RC;;;;;
2010;190;SICILIA;201;ASP AGRIGENTO;VIA MANZONI  140     ;92100;AGRIGENTO;AG;;;;;
2010;190;SICILIA;202;ASP CALTANISSETTA;VIA CUSMANO 10      ;93100;CALTANISSETTA;CL;;;;;
2010;190;SICILIA;203;ASP CATANIA;VIA S. MARIA LA GRANDE 5;95124;CATANIA;CT;;;;;
2010;190;SICILIA;204;ASP ENNA;VIALE DIAZ 23      ;94100;ENNA;EN;;;;;
2010;190;SICILIA;205;ASP MESSINA;VIA DEL VESPRO  289     ;98100;MESSINA;ME;;;;;
2010;190;SICILIA;206;ASP PALERMO;VIA G. CUSMANO 24      ;90100;PALERMO;PA;;;;;
2010;190;SICILIA;207;ASP RAGUSA;P.ZZA IGEA 1;97100;RAGUSA;RG;;;;;
2010;190;SICILIA;208;ASP SIRACUSA;C.SO GELONE 17 ;96100;SIRACUSA;SR;;;;;
2010;190;SICILIA;209;ASP DI TRAPANI;VIA MAZZINI 1       ;91100;TRAPANI;TP;;;;;
2010;200;SARDEGNA;101;SASSARI;VIA ZANFARINO 44;07100;SASSARI;SS;;;;;
2010;200;SARDEGNA;102;OLBIA;VIALE ALDO MORO;07026;OLBIA;OT;;;;;
2010;200;SARDEGNA;103;NUORO;VIA A. DEMURTAS 1;08100;NUORO;NU;;;;;
2010;200;SARDEGNA;104;LANUSEI;VIA PISCINAS 5;08045;LANUSEI;OG;;;;;
2010;200;SARDEGNA;105;ORISTANO;VIA CARDUCCI;09170;ORISTANO;OR;;;;;
2010;200;SARDEGNA;106;SANLURI;VIA UNGARETTI sn;09036;SANLURI;VS;;;;;
2010;200;SARDEGNA;107;CARBONIA;VIA DALMAZIA;09016;IGLESIAS;CI;;;;;
2010;200;SARDEGNA;108;CAGLIARI;VIA LOGUDORO 17      ;09100;CAGLIARI;CA;;;;;
